kcet,puc,college
60491,75,SHREEDEVI INSTITUTE OF TECHNOLOGY
60095,75,T.JOHN ENGINEERING COLLEGE
25104,75,CAMBRIDGE INSTITUTE OF TECHNOLOGY
21808,75,P E S INSTITUTE OF TECHNOLOGY
20533,75,MANGALORE INSTITUTE OF TECHNOLOGY AND ENGINEERING
37859,75,S D M INSTITUTTE OF TECHNOLOGY
75337,75,S E A COLLEGE OF ENGINEERING
30380,75,GOVERNMENT ENGINEERING COLLEGE
30332,75,MAHARAJA INSTITUTE OF TECHNOLOGY
106112,75,KARAVALI INSTITUTE OF TECHNOLOGY
14649,75,SAHYADRI COLLEGE OF ENGINEERING
46596,75,YENEPOYA INSTITUTE OF TECHNOLOGY
54143,75,AMRUTHA INSTITUTE OF ENGINEERING
35744,75,ALVA'S INSTITUTE OF TECHNOLOGY
56363,75,BRINDAVAN COLLEGE OF ENGINEERING
56377,75,R.R INSTITUTE OF TECHNOLOGY
23353,75,SAI VIDYA INSTITUTE OF TECHNOLOGY
40252,75,S.G BALEKUNDRI INSTITUE OF TECHNOLOGY
68503,75,NAVODAYA INSTITUTE OF TECHNOLOGY
50235,75,RAJEEV INSTITUTE OF TECHNOLOGY
9556,75,N I E INSTITUTE OF TECHNOLOGY
72323,75,BEARYS INSTITUTE OF TECHNOLOGY
90347,75,SRI BASAVESWARA INSTITUTE OF TECHNOLOGY
69579,75,SHAIKH COLLEGE OF ENGINEERING
84666,75,C BYRE GOWDA INSTITUTE OF TECHNOLOGY
136259,75,SHA-SHIB COLLEGE OF ENGINEERING
58864,75,ANGADI INSTITUTE OF TECHNOLOGY AND MANAGEMENT
48272,75,ACS COLLEGE OF ENGINEERING
76456,75,VIJAYA VITTALA INSTITUTE OF TECHNOLOGY
89644,75,NDRK INSTITUTE OF TECHNOLOGY
79857,75,AKSHAYA INSTITUTE OF TECHNOLOGY
63052,75,SRINIVAS UNIVERSITY
51922,75,GOVERNMENT ENGINEERING COLLEGE KARWAR
25512,75,JAIN COLLEGE OF ENGINEERING BELGAUM
134123,75,VEERAPPA NISTY ENGINEERING COLLEGE
53497,75,SHARNBASVA UNIVERSITY (FORMERLY GODUTAI COLLEGE FOR WOMEN)
58594,75,AGM RURAL ENGINEERING COLLEGE
41875,75,GOPALAN COLLEGE OF ENGINEERING AND MANAGEMENT
122361,75,SAMPOORNA INSTITUTE OF TECHNOLOGY AND RESEARCH
60790,75,K.S. SCHOOL OF ENGINEERING AND MANAGEMENT
56376,75,BANGALORE TECHNOLOGICAL INSTITUTE SARJAPURA RD
42588,75,ATME COLLEGE OF ENGINEERING
33808,75,SHRI MADHWA VADIRAJA INSTITUTE OF TECHNOLOGY AND MANAGEMENT
78821,75,VSMS SOMASHEKAR R KOTHIWALE INSTITUTE OF TECHNOLOGY
68654,75,ACHUTHA INSTITUTE OF TECHNOLOGY
33120,75,JYOTHI INSTITUTE OF TECHNOLOGY
82109,75,G MADEGOWDA INSTITUTE OF TECHNOLOGY MADDUR TALUK
37509,75,JAIN INSTITUTE OF TECHNOLOGY
13307,75,DAYANANDA SAGAR ACADEMY OF TECHNOLOGY KANAKAPUR MAIN ROAD
101201,75,LINGARAJAPPA ENGINEERING COLLEGE BIDAR
79727,75,SHETTY INSTITUTE OF TECHNOLOGY GULBARGA
121976,75,GIRIJABAI SAIL INSTITUTE OF TECHNOLOGY MAJALI VILLAGE KARWAR
88490,75,"BILURU GURUBASAVA MAHASWAMIJI INSTITUTE OF TECHNOLOGY MUDHOL,BAGALKOT- DIST"
54558,75,"CAMBRIDGE INSTITUTUTE OF TECHNOLOGY-NORTH CAMPUS DEVANAHALLI(TQ),BANGALORE(R)"
87108,75,CAUVERY INSTITUTE OF TECHNOLOGY MANDYA TQ
67147,75,"PRESIDENCY UNIVERSITY YELAHANKA, BANGALORE"
61635,75,MYSURU ROYAL INSTITUTE OF TECHNOLOGY MANDYA (D)
44018,75,"EAST WEST COLLEGE OF ENGINEERING YELAHANKA NEW TOWN, BANGALORE"
17146,80,"DAYANANDA SAGAR UNIVERSITY HOSUR ROAD, BANGALORE"
4648,85,KLE TECHNOLOGICAL UNIVERSITY(FORMERLY BVBCET) DHARWARD DIST
32040,75,"CMR UNIVERSITY CHAGALATTI, BANGALORE"
43640,75,"MAHARAJA INSTITUTE OF TECHNOLOGY THANDAVAPURA, MYSORE"
12382,75,NEW HORIZON COLLEGE OF ENGINEERING BANGALORE (IIND SHIFT)
21773,75,M V J COLLEGE OF ENGINEERING BANGALORE (IIND SHIFT)
